Data run ended at:  Thursday, April 15, 2021	1:35:47 AM
Total number of sweeps:  11209717	live time (sec):  224194.340000	real time (sec):  259208.184000


time (sec)	counts
0.000000E+0	0.000000E+0
2.000000E-5	8.370300E+4
4.000000E-5	8.355300E+4
6.000000E-5	8.417900E+4
8.000000E-5	8.376800E+4
1.000000E-4	8.417500E+4
1.200000E-4	8.335100E+4
1.400000E-4	8.353700E+4
1.600000E-4	8.401700E+4
1.800000E-4	8.274400E+4
2.000000E-4	8.401800E+4
2.200000E-4	8.436100E+4
2.400000E-4	8.345400E+4
2.600000E-4	8.338600E+4
2.800000E-4	8.389000E+4
3.000000E-4	8.377300E+4
3.200000E-4	8.372000E+4
3.400000E-4	8.349000E+4
3.600000E-4	8.418200E+4
3.800000E-4	8.333400E+4
4.000000E-4	8.373000E+4
4.200000E-4	8.368400E+4
4.400000E-4	8.303000E+4
4.600000E-4	8.361900E+4
4.800000E-4	8.418400E+4
5.000000E-4	8.346200E+4
5.200000E-4	8.379300E+4
5.400000E-4	8.328700E+4
5.600000E-4	8.416700E+4
5.800000E-4	8.336700E+4
6.000000E-4	8.333300E+4
6.200000E-4	8.366900E+4
6.400000E-4	8.357500E+4
6.600000E-4	8.379900E+4
6.800000E-4	8.371300E+4
7.000000E-4	8.370600E+4
7.200000E-4	8.339900E+4
7.400000E-4	8.355200E+4
7.600000E-4	8.354400E+4
7.800000E-4	8.341500E+4
8.000000E-4	8.377600E+4
8.200000E-4	8.356000E+4
8.400000E-4	8.351700E+4
8.600000E-4	8.357500E+4
8.800000E-4	8.373700E+4
9.000000E-4	8.359100E+4
9.200000E-4	8.394000E+4
9.400000E-4	8.392200E+4
9.600000E-4	8.308300E+4
9.800000E-4	8.355500E+4
1.000000E-3	8.327000E+4
1.020000E-3	8.354700E+4
1.040000E-3	8.365400E+4
1.060000E-3	8.396200E+4
1.080000E-3	8.382400E+4
1.100000E-3	8.450200E+4
1.120000E-3	8.323400E+4
1.140000E-3	8.354900E+4
1.160000E-3	8.328600E+4
1.180000E-3	8.397400E+4
1.200000E-3	8.330400E+4
1.220000E-3	8.349100E+4
1.240000E-3	8.366200E+4
1.260000E-3	8.298000E+4
1.280000E-3	8.335100E+4
1.300000E-3	8.348000E+4
1.320000E-3	8.374400E+4
1.340000E-3	8.368800E+4
1.360000E-3	8.350600E+4
1.380000E-3	8.333800E+4
1.400000E-3	8.399600E+4
1.420000E-3	8.376700E+4
1.440000E-3	8.361900E+4
1.460000E-3	8.389300E+4
1.480000E-3	8.357500E+4
1.500000E-3	8.391100E+4
1.520000E-3	8.385700E+4
1.540000E-3	8.334000E+4
1.560000E-3	8.353200E+4
1.580000E-3	8.375200E+4
1.600000E-3	8.361600E+4
1.620000E-3	8.378300E+4
1.640000E-3	8.360800E+4
1.660000E-3	8.362300E+4
1.680000E-3	8.369900E+4
1.700000E-3	8.392700E+4
1.720000E-3	8.353500E+4
1.740000E-3	8.347300E+4
1.760000E-3	8.406100E+4
1.780000E-3	8.376600E+4
1.800000E-3	8.367000E+4
1.820000E-3	8.407300E+4
1.840000E-3	8.363900E+4
1.860000E-3	8.364300E+4
1.880000E-3	8.334500E+4
1.900000E-3	8.423300E+4
1.920000E-3	8.370200E+4
1.940000E-3	8.330500E+4
1.960000E-3	8.334100E+4
1.980000E-3	8.331800E+4
2.000000E-3	8.356900E+4
2.020000E-3	8.381900E+4
2.040000E-3	8.351800E+4
2.060000E-3	8.409700E+4
2.080000E-3	8.337400E+4
2.100000E-3	8.380100E+4
2.120000E-3	8.378200E+4
2.140000E-3	8.356300E+4
2.160000E-3	8.382200E+4
2.180000E-3	8.400200E+4
2.200000E-3	8.387000E+4
2.220000E-3	8.384400E+4
2.240000E-3	8.348500E+4
2.260000E-3	8.406200E+4
2.280000E-3	8.362500E+4
2.300000E-3	8.363700E+4
2.320000E-3	8.331600E+4
2.340000E-3	8.389900E+4
2.360000E-3	8.366600E+4
2.380000E-3	8.361900E+4
2.400000E-3	8.350000E+4
2.420000E-3	8.357300E+4
2.440000E-3	8.397500E+4
2.460000E-3	8.354700E+4
2.480000E-3	8.435800E+4
2.500000E-3	8.412000E+4
2.520000E-3	8.348500E+4
2.540000E-3	8.397900E+4
2.560000E-3	8.404900E+4
2.580000E-3	8.337400E+4
2.600000E-3	8.365600E+4
2.620000E-3	8.310800E+4
2.640000E-3	8.347300E+4
2.660000E-3	8.383600E+4
2.680000E-3	8.360600E+4
2.700000E-3	8.361200E+4
2.720000E-3	8.328100E+4
2.740000E-3	8.371200E+4
2.760000E-3	8.332400E+4
2.780000E-3	8.362500E+4
2.800000E-3	8.379500E+4
2.820000E-3	8.425800E+4
2.840000E-3	8.344000E+4
2.860000E-3	8.342600E+4
2.880000E-3	8.432800E+4
2.900000E-3	8.341400E+4
2.920000E-3	8.356200E+4
2.940000E-3	8.401700E+4
2.960000E-3	8.384400E+4
2.980000E-3	8.358500E+4
3.000000E-3	8.361900E+4
3.020000E-3	8.401100E+4
3.040000E-3	8.430100E+4
3.060000E-3	8.377800E+4
3.080000E-3	8.345500E+4
3.100000E-3	8.374400E+4
3.120000E-3	8.384800E+4
3.140000E-3	8.371700E+4
3.160000E-3	8.401000E+4
3.180000E-3	8.393100E+4
3.200000E-3	8.339900E+4
3.220000E-3	8.404100E+4
3.240000E-3	8.382800E+4
3.260000E-3	8.325000E+4
3.280000E-3	8.417000E+4
3.300000E-3	8.386700E+4
3.320000E-3	8.385700E+4
3.340000E-3	8.345100E+4
3.360000E-3	8.366900E+4
3.380000E-3	8.354800E+4
3.400000E-3	8.410100E+4
3.420000E-3	8.357300E+4
3.440000E-3	8.339100E+4
3.460000E-3	8.372400E+4
3.480000E-3	8.393600E+4
3.500000E-3	8.341900E+4
3.520000E-3	8.391800E+4
3.540000E-3	8.414200E+4
3.560000E-3	8.369100E+4
3.580000E-3	8.346600E+4
3.600000E-3	8.323600E+4
3.620000E-3	8.340600E+4
3.640000E-3	8.404000E+4
3.660000E-3	8.335700E+4
3.680000E-3	8.342200E+4
3.700000E-3	8.367500E+4
3.720000E-3	8.320200E+4
3.740000E-3	8.390900E+4
3.760000E-3	8.378600E+4
3.780000E-3	8.380400E+4
3.800000E-3	8.362900E+4
3.820000E-3	8.349400E+4
3.840000E-3	8.350900E+4
3.860000E-3	8.388200E+4
3.880000E-3	8.368600E+4
3.900000E-3	8.361800E+4
3.920000E-3	8.409500E+4
3.940000E-3	8.362900E+4
3.960000E-3	8.320900E+4
3.980000E-3	8.318400E+4
4.000000E-3	8.343200E+4
4.020000E-3	8.350300E+4
4.040000E-3	8.353900E+4
4.060000E-3	8.384500E+4
4.080000E-3	8.360000E+4
4.100000E-3	8.352600E+4
4.120000E-3	8.375700E+4
4.140000E-3	8.370000E+4
4.160000E-3	8.343200E+4
4.180000E-3	8.343800E+4
4.200000E-3	8.359000E+4
4.220000E-3	8.372500E+4
4.240000E-3	8.387500E+4
4.260000E-3	8.351000E+4
4.280000E-3	8.374000E+4
4.300000E-3	8.369200E+4
4.320000E-3	8.357600E+4
4.340000E-3	8.407800E+4
4.360000E-3	8.355800E+4
4.380000E-3	8.299400E+4
4.400000E-3	8.373300E+4
4.420000E-3	8.366600E+4
4.440000E-3	8.373800E+4
4.460000E-3	8.358800E+4
4.480000E-3	8.303300E+4
4.500000E-3	8.331200E+4
4.520000E-3	8.358500E+4
4.540000E-3	8.391700E+4
4.560000E-3	8.335000E+4
4.580000E-3	8.396200E+4
4.600000E-3	8.332400E+4
4.620000E-3	8.286000E+4
4.640000E-3	8.328200E+4
4.660000E-3	8.317000E+4
4.680000E-3	8.291500E+4
4.700000E-3	8.266600E+4
4.720000E-3	8.250600E+4
4.740000E-3	8.253700E+4
4.760000E-3	8.221800E+4
4.780000E-3	8.178900E+4
4.800000E-3	8.142600E+4
4.820000E-3	8.115500E+4
4.840000E-3	7.991300E+4
4.860000E-3	7.894600E+4
4.880000E-3	7.639500E+4
4.900000E-3	7.352600E+4
4.920000E-3	7.005300E+4
4.940000E-3	6.600300E+4
4.960000E-3	6.575300E+4
4.980000E-3	6.918400E+4
5.000000E-3	7.331700E+4
5.020000E-3	7.681100E+4
