Data run ended at:  Saturday, April 03, 2021	6:03:08 PM
Total number of sweeps:  2519203	live time (sec):  50384.060000	real time (sec):  58415.165000


time (sec)	counts
0.000000E+0	0.000000E+0
2.000000E-5	6.480800E+4
4.000000E-5	6.488700E+4
6.000000E-5	6.524800E+4
8.000000E-5	6.566500E+4
1.000000E-4	6.507100E+4
1.200000E-4	6.553500E+4
1.400000E-4	6.516100E+4
1.600000E-4	6.523600E+4
1.800000E-4	6.523600E+4
2.000000E-4	6.525500E+4
2.200000E-4	6.515000E+4
2.400000E-4	6.521100E+4
2.600000E-4	6.494300E+4
2.800000E-4	6.548500E+4
3.000000E-4	6.527300E+4
3.200000E-4	6.529000E+4
3.400000E-4	6.512700E+4
3.600000E-4	6.498300E+4
3.800000E-4	6.556600E+4
4.000000E-4	6.540400E+4
4.200000E-4	6.524000E+4
4.400000E-4	6.527100E+4
4.600000E-4	6.547000E+4
4.800000E-4	6.541900E+4
5.000000E-4	6.501100E+4
5.200000E-4	6.524000E+4
5.400000E-4	6.510100E+4
5.600000E-4	6.569400E+4
5.800000E-4	6.534400E+4
6.000000E-4	6.544300E+4
6.200000E-4	6.551900E+4
6.400000E-4	6.545800E+4
6.600000E-4	6.534700E+4
6.800000E-4	6.552000E+4
7.000000E-4	6.556100E+4
7.200000E-4	6.522100E+4
7.400000E-4	6.571800E+4
7.600000E-4	6.530600E+4
7.800000E-4	6.599400E+4
8.000000E-4	6.525800E+4
8.200000E-4	6.592100E+4
8.400000E-4	6.527500E+4
8.600000E-4	6.568800E+4
8.800000E-4	6.494600E+4
9.000000E-4	6.563600E+4
9.200000E-4	6.566000E+4
9.400000E-4	6.513800E+4
9.600000E-4	6.508000E+4
9.800000E-4	6.557900E+4
1.000000E-3	6.505100E+4
1.020000E-3	6.530500E+4
1.040000E-3	6.548800E+4
1.060000E-3	6.524100E+4
1.080000E-3	6.574000E+4
1.100000E-3	6.547800E+4
1.120000E-3	6.574800E+4
1.140000E-3	6.503800E+4
1.160000E-3	6.555600E+4
1.180000E-3	6.521800E+4
1.200000E-3	6.577900E+4
1.220000E-3	6.538600E+4
1.240000E-3	6.569100E+4
1.260000E-3	6.527800E+4
1.280000E-3	6.534600E+4
1.300000E-3	6.480300E+4
1.320000E-3	6.513500E+4
1.340000E-3	6.559800E+4
1.360000E-3	6.563000E+4
1.380000E-3	6.551600E+4
1.400000E-3	6.478600E+4
1.420000E-3	6.571700E+4
1.440000E-3	6.552600E+4
1.460000E-3	6.575500E+4
1.480000E-3	6.528200E+4
1.500000E-3	6.519300E+4
1.520000E-3	6.556200E+4
1.540000E-3	6.550600E+4
1.560000E-3	6.619500E+4
1.580000E-3	6.561800E+4
1.600000E-3	6.562800E+4
1.620000E-3	6.563900E+4
1.640000E-3	6.546100E+4
1.660000E-3	6.504900E+4
1.680000E-3	6.502100E+4
1.700000E-3	6.525800E+4
1.720000E-3	6.553200E+4
1.740000E-3	6.544400E+4
1.760000E-3	6.547500E+4
1.780000E-3	6.549200E+4
1.800000E-3	6.503600E+4
1.820000E-3	6.541600E+4
1.840000E-3	6.503400E+4
1.860000E-3	6.539900E+4
1.880000E-3	6.567600E+4
1.900000E-3	6.547900E+4
1.920000E-3	6.524900E+4
1.940000E-3	6.577400E+4
1.960000E-3	6.487900E+4
1.980000E-3	6.540500E+4
2.000000E-3	6.572700E+4
2.020000E-3	6.536800E+4
2.040000E-3	6.536100E+4
2.060000E-3	6.508600E+4
2.080000E-3	6.551200E+4
2.100000E-3	6.557600E+4
2.120000E-3	6.532300E+4
2.140000E-3	6.516700E+4
2.160000E-3	6.526100E+4
2.180000E-3	6.559600E+4
2.200000E-3	6.532600E+4
2.220000E-3	6.561200E+4
2.240000E-3	6.497700E+4
2.260000E-3	6.550500E+4
2.280000E-3	6.583800E+4
2.300000E-3	6.565900E+4
2.320000E-3	6.546600E+4
