Data run started:  Friday, April 02, 2021	11:35:19 PM
Data run ended:  Friday, April 02, 2021	11:37:18 PM
0.050000	12.000000
0.150000	442.000000
0.250000	636.000000
0.350000	555.000000
0.450000	560.000000
0.550000	675.000000
0.650000	761.000000
0.750000	717.000000
0.850000	640.000000
0.950000	659.000000
1.050000	616.000000
1.150000	660.000000
1.250000	636.000000
1.350000	588.000000
1.450000	529.000000
1.550000	538.000000
1.650000	496.000000
1.750000	499.000000
1.850000	506.000000
1.950000	519.000000
2.050000	479.000000
2.150000	500.000000
2.250000	539.000000
2.350000	522.000000
2.450000	484.000000
2.550000	453.000000
2.650000	473.000000
2.750000	425.000000
2.850000	461.000000
2.950000	500.000000
3.050000	472.000000
3.150000	478.000000
3.250000	425.000000
3.350000	471.000000
3.450000	493.000000
3.550000	455.000000
3.650000	451.000000
3.750000	478.000000
3.850000	532.000000
3.950000	512.000000
4.050000	547.000000
4.150000	540.000000
4.250000	644.000000
4.350000	711.000000
4.450000	695.000000
4.550000	776.000000
4.650000	637.000000
4.750000	586.000000
4.850000	409.000000
4.950000	401.000000
5.050000	498.000000
5.150000	524.000000
5.250000	592.000000
5.350000	663.000000
5.450000	694.000000
5.550000	695.000000
5.650000	647.000000
5.750000	599.000000
5.850000	580.000000
5.950000	525.000000
6.050000	455.000000
6.150000	412.000000
6.250000	409.000000
6.350000	355.000000
6.450000	367.000000
6.550000	340.000000
6.650000	340.000000
6.750000	299.000000
6.850000	329.000000
6.950000	321.000000
7.050000	327.000000
7.150000	334.000000
7.250000	396.000000
7.350000	383.000000
7.450000	370.000000
7.550000	390.000000
7.650000	393.000000
7.750000	339.000000
7.850000	402.000000
7.950000	422.000000
8.050000	491.000000
8.150000	520.000000
8.250000	634.000000
8.350000	720.000000
8.450000	734.000000
8.550000	906.000000
8.650000	1019.000000
8.750000	1221.000000
8.850000	1351.000000
8.950000	1455.000000
