Data run started:  Saturday, April 03, 2021	12:05:23 AM
Data run ended:  Saturday, April 03, 2021	12:07:33 AM
0.050000	26.000000
0.150000	2943.000000
0.250000	3224.000000
0.350000	2406.000000
0.450000	2253.000000
0.550000	5680.000000
0.650000	29946.000000
0.750000	21286.000000
0.850000	3172.000000
0.950000	1379.000000
1.050000	1429.000000
1.150000	1344.000000
1.250000	1432.000000
1.350000	5820.000000
1.450000	24198.000000
1.550000	21180.000000
1.650000	3872.000000
1.750000	795.000000
1.850000	657.000000
1.950000	815.000000
2.050000	2101.000000
2.150000	4280.000000
2.250000	2993.000000
2.350000	1380.000000
2.450000	988.000000
2.550000	780.000000
2.650000	506.000000
2.750000	515.000000
2.850000	556.000000
2.950000	460.000000
3.050000	483.000000
3.150000	448.000000
3.250000	524.000000
3.350000	456.000000
3.450000	500.000000
3.550000	515.000000
3.650000	493.000000
3.750000	517.000000
3.850000	565.000000
3.950000	559.000000
4.050000	626.000000
4.150000	621.000000
4.250000	708.000000
4.350000	745.000000
4.450000	816.000000
4.550000	823.000000
4.650000	705.000000
4.750000	520.000000
4.850000	500.000000
4.950000	484.000000
5.050000	542.000000
5.150000	598.000000
5.250000	632.000000
5.350000	738.000000
5.450000	795.000000
5.550000	786.000000
5.650000	752.000000
5.750000	667.000000
5.850000	583.000000
5.950000	510.000000
6.050000	512.000000
6.150000	444.000000
6.250000	468.000000
6.350000	466.000000
6.450000	444.000000
6.550000	411.000000
6.650000	336.000000
6.750000	358.000000
6.850000	333.000000
6.950000	343.000000
7.050000	374.000000
7.150000	394.000000
7.250000	389.000000
7.350000	353.000000
7.450000	426.000000
7.550000	464.000000
7.650000	412.000000
7.750000	429.000000
7.850000	426.000000
7.950000	503.000000
8.050000	499.000000
8.150000	644.000000
8.250000	620.000000
8.350000	779.000000
8.450000	904.000000
8.550000	987.000000
8.650000	1121.000000
8.750000	1230.000000
8.850000	1431.000000
8.950000	1561.000000
