Data run ended at:  Friday, April 09, 2021	1:50:33 AM
Total number of sweeps:  14912522	live time (sec):  298250.440000	real time (sec):  345601.047000


time (sec)	counts
0.000000E+0	0.000000E+0
2.000000E-5	1.486000E+5
4.000000E-5	1.490030E+5
6.000000E-5	1.492610E+5
8.000000E-5	1.493240E+5
1.000000E-4	1.487200E+5
1.200000E-4	1.492580E+5
1.400000E-4	1.496910E+5
1.600000E-4	1.502210E+5
1.800000E-4	1.493490E+5
2.000000E-4	1.498200E+5
2.200000E-4	1.496300E+5
2.400000E-4	1.495410E+5
2.600000E-4	1.493480E+5
2.800000E-4	1.491180E+5
3.000000E-4	1.495150E+5
3.200000E-4	1.489090E+5
3.400000E-4	1.495680E+5
3.600000E-4	1.492180E+5
3.800000E-4	1.497770E+5
4.000000E-4	1.496160E+5
4.200000E-4	1.492580E+5
4.400000E-4	1.488440E+5
4.600000E-4	1.495450E+5
4.800000E-4	1.498530E+5
5.000000E-4	1.491050E+5
5.200000E-4	1.495230E+5
5.400000E-4	1.493580E+5
5.600000E-4	1.494310E+5
5.800000E-4	1.493530E+5
6.000000E-4	1.488140E+5
6.200000E-4	1.489200E+5
6.400000E-4	1.492400E+5
6.600000E-4	1.490660E+5
6.800000E-4	1.491320E+5
7.000000E-4	1.492990E+5
7.200000E-4	1.495130E+5
7.400000E-4	1.490040E+5
7.600000E-4	1.489720E+5
7.800000E-4	1.491680E+5
8.000000E-4	1.494620E+5
8.200000E-4	1.493500E+5
8.400000E-4	1.494120E+5
8.600000E-4	1.497510E+5
8.800000E-4	1.494300E+5
9.000000E-4	1.483690E+5
9.200000E-4	1.491120E+5
9.400000E-4	1.497360E+5
9.600000E-4	1.494600E+5
9.800000E-4	1.495620E+5
1.000000E-3	1.488430E+5
1.020000E-3	1.493980E+5
1.040000E-3	1.498190E+5
1.060000E-3	1.491950E+5
1.080000E-3	1.489630E+5
1.100000E-3	1.495850E+5
1.120000E-3	1.487580E+5
1.140000E-3	1.488690E+5
1.160000E-3	1.490760E+5
1.180000E-3	1.491630E+5
1.200000E-3	1.495510E+5
1.220000E-3	1.487460E+5
1.240000E-3	1.496370E+5
1.260000E-3	1.491720E+5
1.280000E-3	1.494570E+5
1.300000E-3	1.494340E+5
1.320000E-3	1.491010E+5
1.340000E-3	1.498530E+5
1.360000E-3	1.487200E+5
1.380000E-3	1.496240E+5
1.400000E-3	1.495920E+5
1.420000E-3	1.490780E+5
1.440000E-3	1.494340E+5
1.460000E-3	1.498290E+5
1.480000E-3	1.491910E+5
1.500000E-3	1.483120E+5
1.520000E-3	1.490340E+5
1.540000E-3	1.496060E+5
1.560000E-3	1.496140E+5
1.580000E-3	1.490860E+5
1.600000E-3	1.496110E+5
1.620000E-3	1.502760E+5
1.640000E-3	1.492430E+5
1.660000E-3	1.492080E+5
1.680000E-3	1.494130E+5
1.700000E-3	1.487570E+5
1.720000E-3	1.489290E+5
1.740000E-3	1.491590E+5
1.760000E-3	1.497590E+5
1.780000E-3	1.496110E+5
1.800000E-3	1.490380E+5
1.820000E-3	1.500990E+5
1.840000E-3	1.498790E+5
1.860000E-3	1.497020E+5
1.880000E-3	1.497390E+5
1.900000E-3	1.495360E+5
1.920000E-3	1.496160E+5
1.940000E-3	1.492930E+5
1.960000E-3	1.494970E+5
1.980000E-3	1.498600E+5
2.000000E-3	1.492800E+5
2.020000E-3	1.496640E+5
2.040000E-3	1.489730E+5
2.060000E-3	1.503900E+5
2.080000E-3	1.488380E+5
2.100000E-3	1.487520E+5
2.120000E-3	1.494800E+5
2.140000E-3	1.495700E+5
2.160000E-3	1.494140E+5
2.180000E-3	1.495380E+5
2.200000E-3	1.492850E+5
2.220000E-3	1.487020E+5
2.240000E-3	1.495970E+5
2.260000E-3	1.495740E+5
2.280000E-3	1.496720E+5
2.300000E-3	1.497810E+5
2.320000E-3	1.492940E+5
2.340000E-3	1.484960E+5
2.360000E-3	1.494400E+5
2.380000E-3	1.491980E+5
2.400000E-3	1.497030E+5
2.420000E-3	1.494960E+5
2.440000E-3	1.490180E+5
2.460000E-3	1.490510E+5
2.480000E-3	1.490700E+5
2.500000E-3	1.492350E+5
2.520000E-3	1.494510E+5
2.540000E-3	1.493590E+5
2.560000E-3	1.486540E+5
2.580000E-3	1.495460E+5
2.600000E-3	1.495520E+5
2.620000E-3	1.488820E+5
2.640000E-3	1.493410E+5
2.660000E-3	1.488760E+5
2.680000E-3	1.498460E+5
2.700000E-3	1.492060E+5
2.720000E-3	1.487980E+5
2.740000E-3	1.491660E+5
2.760000E-3	1.497640E+5
2.780000E-3	1.494480E+5
2.800000E-3	1.489440E+5
2.820000E-3	1.489010E+5
2.840000E-3	1.492330E+5
2.860000E-3	1.494370E+5
2.880000E-3	1.497030E+5
2.900000E-3	1.486350E+5
2.920000E-3	1.491790E+5
2.940000E-3	1.493520E+5
2.960000E-3	1.494700E+5
2.980000E-3	1.491450E+5
3.000000E-3	1.487620E+5
3.020000E-3	1.493980E+5
3.040000E-3	1.493850E+5
3.060000E-3	1.491750E+5
3.080000E-3	1.490830E+5
3.100000E-3	1.495180E+5
3.120000E-3	1.491360E+5
3.140000E-3	1.486370E+5
3.160000E-3	1.487650E+5
3.180000E-3	1.487070E+5
3.200000E-3	1.496150E+5
3.220000E-3	1.490190E+5
3.240000E-3	1.491300E+5
3.260000E-3	1.494080E+5
3.280000E-3	1.494910E+5
3.300000E-3	1.493560E+5
3.320000E-3	1.494580E+5
3.340000E-3	1.490820E+5
3.360000E-3	1.494440E+5
3.380000E-3	1.487490E+5
3.400000E-3	1.492540E+5
3.420000E-3	1.495810E+5
3.440000E-3	1.490830E+5
3.460000E-3	1.494560E+5
3.480000E-3	1.495320E+5
3.500000E-3	1.497920E+5
3.520000E-3	1.493620E+5
3.540000E-3	1.502270E+5
