Data run ended at:  Sunday, April 04, 2021	8:13:18 PM
Total number of sweeps:  4039012	live time (sec):  80780.240000	real time (sec):  93604.633000


time (sec)	counts
0.000000E+0	0.000000E+0
2.000000E-5	1.049600E+5
4.000000E-5	1.054560E+5
6.000000E-5	1.056720E+5
8.000000E-5	1.052500E+5
1.000000E-4	1.056570E+5
1.200000E-4	1.052150E+5
1.400000E-4	1.057080E+5
1.600000E-4	1.056720E+5
1.800000E-4	1.057560E+5
2.000000E-4	1.061330E+5
2.200000E-4	1.054790E+5
2.400000E-4	1.057140E+5
2.600000E-4	1.057020E+5
2.800000E-4	1.054680E+5
3.000000E-4	1.054580E+5
3.200000E-4	1.056660E+5
3.400000E-4	1.053370E+5
3.600000E-4	1.055880E+5
3.800000E-4	1.051160E+5
4.000000E-4	1.056750E+5
4.200000E-4	1.053740E+5
4.400000E-4	1.057690E+5
4.600000E-4	1.062010E+5
4.800000E-4	1.051520E+5
5.000000E-4	1.055300E+5
5.200000E-4	1.054500E+5
5.400000E-4	1.050350E+5
5.600000E-4	1.053430E+5
5.800000E-4	1.054770E+5
6.000000E-4	1.055010E+5
6.200000E-4	1.051260E+5
6.400000E-4	1.058030E+5
6.600000E-4	1.052140E+5
6.800000E-4	1.062390E+5
7.000000E-4	1.055060E+5
7.200000E-4	1.057830E+5
7.400000E-4	1.053900E+5
7.600000E-4	1.052660E+5
7.800000E-4	1.054710E+5
8.000000E-4	1.050900E+5
8.200000E-4	1.054420E+5
8.400000E-4	1.050110E+5
8.600000E-4	1.061730E+5
8.800000E-4	1.054090E+5
9.000000E-4	1.057410E+5
9.200000E-4	1.059500E+5
9.400000E-4	1.059230E+5
9.600000E-4	1.054080E+5
9.800000E-4	1.056520E+5
1.000000E-3	1.060170E+5
1.020000E-3	1.056550E+5
1.040000E-3	1.058530E+5
1.060000E-3	1.055610E+5
1.080000E-3	1.057520E+5
1.100000E-3	1.059760E+5
1.120000E-3	1.053150E+5
1.140000E-3	1.051700E+5
1.160000E-3	1.051840E+5
1.180000E-3	1.052800E+5
1.200000E-3	1.057860E+5
1.220000E-3	1.060180E+5
1.240000E-3	1.055110E+5
1.260000E-3	1.051320E+5
1.280000E-3	1.054210E+5
1.300000E-3	1.051440E+5
1.320000E-3	1.057930E+5
1.340000E-3	1.055970E+5
1.360000E-3	1.050680E+5
1.380000E-3	1.053120E+5
1.400000E-3	1.058720E+5
1.420000E-3	1.056660E+5
1.440000E-3	1.053200E+5
1.460000E-3	1.057540E+5
1.480000E-3	1.050920E+5
1.500000E-3	1.060510E+5
1.520000E-3	1.052320E+5
1.540000E-3	1.054950E+5
1.560000E-3	1.056860E+5
1.580000E-3	1.053460E+5
1.600000E-3	1.050480E+5
1.620000E-3	1.055410E+5
1.640000E-3	1.058360E+5
1.660000E-3	1.053020E+5
1.680000E-3	1.051650E+5
1.700000E-3	1.055160E+5
1.720000E-3	1.060330E+5
1.740000E-3	1.050620E+5
1.760000E-3	1.052830E+5
1.780000E-3	1.056380E+5
1.800000E-3	1.052880E+5
1.820000E-3	1.049390E+5
1.840000E-3	1.055770E+5
1.860000E-3	1.053310E+5
1.880000E-3	1.055580E+5
1.900000E-3	1.055350E+5
1.920000E-3	1.056900E+5
1.940000E-3	1.055650E+5
1.960000E-3	1.056340E+5
1.980000E-3	1.052840E+5
2.000000E-3	1.053400E+5
2.020000E-3	1.056280E+5
2.040000E-3	1.054520E+5
2.060000E-3	1.057870E+5
2.080000E-3	1.056260E+5
2.100000E-3	1.055150E+5
2.120000E-3	1.059860E+5
2.140000E-3	1.058170E+5
2.160000E-3	1.051870E+5
2.180000E-3	1.054360E+5
2.200000E-3	1.048310E+5
2.220000E-3	1.058360E+5
2.240000E-3	1.053350E+5
2.260000E-3	1.052400E+5
2.280000E-3	1.058980E+5
2.300000E-3	1.060880E+5
2.320000E-3	1.053260E+5
2.340000E-3	1.052250E+5
2.360000E-3	1.052500E+5
2.380000E-3	1.060030E+5
2.400000E-3	1.050330E+5
2.420000E-3	1.052720E+5
2.440000E-3	1.053440E+5
2.460000E-3	1.057150E+5
2.480000E-3	1.052710E+5
2.500000E-3	1.052280E+5
2.520000E-3	1.055020E+5
2.540000E-3	1.054570E+5
2.560000E-3	1.053220E+5
2.580000E-3	1.052790E+5
2.600000E-3	1.059680E+5
2.620000E-3	1.049330E+5
2.640000E-3	1.054660E+5
2.660000E-3	1.053280E+5
2.680000E-3	1.052160E+5
2.700000E-3	1.051370E+5
2.720000E-3	1.056460E+5
2.740000E-3	1.048660E+5
2.760000E-3	1.053310E+5
2.780000E-3	1.055760E+5
2.800000E-3	1.043730E+5
2.820000E-3	1.059060E+5
2.840000E-3	1.055690E+5
2.860000E-3	1.052860E+5
2.880000E-3	1.052650E+5
2.900000E-3	1.053900E+5
2.920000E-3	1.057500E+5
2.940000E-3	1.056000E+5
2.960000E-3	1.056270E+5
2.980000E-3	1.057840E+5
3.000000E-3	1.062450E+5
3.020000E-3	1.057070E+5
3.040000E-3	1.055340E+5
3.060000E-3	1.057090E+5
3.080000E-3	1.056130E+5
3.100000E-3	1.057070E+5
3.120000E-3	1.056670E+5
3.140000E-3	1.056470E+5
3.160000E-3	1.052390E+5
3.180000E-3	1.059280E+5
3.200000E-3	1.049830E+5
3.220000E-3	1.054470E+5
3.240000E-3	1.057010E+5
3.260000E-3	1.052050E+5
3.280000E-3	1.052660E+5
3.300000E-3	1.055760E+5
3.320000E-3	1.050790E+5
3.340000E-3	1.051000E+5
3.360000E-3	1.057680E+5
3.380000E-3	1.053830E+5
3.400000E-3	1.047500E+5
3.420000E-3	1.048540E+5
3.440000E-3	1.050080E+5
3.460000E-3	1.058710E+5
3.480000E-3	1.050620E+5
3.500000E-3	1.050740E+5
3.520000E-3	1.053750E+5
3.540000E-3	1.052750E+5
3.560000E-3	1.046810E+5
3.580000E-3	1.049380E+5
3.600000E-3	1.051400E+5
3.620000E-3	1.054730E+5
3.640000E-3	1.048360E+5
3.660000E-3	1.054280E+5
3.680000E-3	1.054900E+5
3.700000E-3	1.047470E+5
3.720000E-3	1.048400E+5
3.740000E-3	1.056080E+5
3.760000E-3	1.049320E+5
3.780000E-3	1.056070E+5
3.800000E-3	1.048220E+5
3.820000E-3	1.044060E+5
3.840000E-3	1.048180E+5
3.860000E-3	1.038190E+5
3.880000E-3	1.044510E+5
3.900000E-3	1.044880E+5
3.920000E-3	1.041360E+5
3.940000E-3	1.039420E+5
3.960000E-3	1.034230E+5
3.980000E-3	1.031440E+5
4.000000E-3	1.022940E+5
4.020000E-3	1.015330E+5
4.040000E-3	9.996800E+4
4.060000E-3	9.772000E+4
4.080000E-3	9.460900E+4
4.100000E-3	8.982700E+4
4.120000E-3	8.364300E+4
4.140000E-3	7.725300E+4
4.160000E-3	7.444600E+4
4.180000E-3	7.621900E+4
4.200000E-3	8.222500E+4
4.220000E-3	8.755600E+4
4.240000E-3	9.175600E+4
4.260000E-3	9.473500E+4
4.280000E-3	9.621200E+4
4.300000E-3	9.775300E+4
4.320000E-3	9.982300E+4
4.340000E-3	1.014980E+5
4.360000E-3	1.020420E+5
4.380000E-3	1.027260E+5
4.400000E-3	1.037100E+5
4.420000E-3	1.039490E+5
4.440000E-3	1.037610E+5
4.460000E-3	1.040310E+5
4.480000E-3	1.041110E+5
4.500000E-3	1.040090E+5
4.520000E-3	1.042880E+5
4.540000E-3	1.036940E+5
4.560000E-3	1.044510E+5
4.580000E-3	1.039450E+5
4.600000E-3	1.040180E+5
4.620000E-3	1.031090E+5
4.640000E-3	1.027390E+5
4.660000E-3	1.025870E+5
4.680000E-3	1.024640E+5
4.700000E-3	1.010160E+5
4.720000E-3	1.000740E+5
4.740000E-3	9.821700E+4
4.760000E-3	9.438400E+4
4.780000E-3	8.986600E+4
4.800000E-3	8.317800E+4
4.820000E-3	7.680100E+4
4.840000E-3	7.266600E+4
4.860000E-3	7.487200E+4
4.880000E-3	8.055400E+4
4.900000E-3	8.632800E+4
4.920000E-3	9.108100E+4
4.940000E-3	9.636600E+4
4.960000E-3	9.860200E+4
4.980000E-3	1.004070E+5
5.000000E-3	1.023070E+5
5.020000E-3	1.026420E+5
5.040000E-3	1.031740E+5
5.060000E-3	1.030410E+5
5.080000E-3	1.040280E+5
5.100000E-3	1.044230E+5
5.120000E-3	1.041850E+5
5.140000E-3	1.040940E+5
5.160000E-3	1.035070E+5
5.180000E-3	1.042140E+5
5.200000E-3	1.043470E+5
5.220000E-3	1.054400E+5
5.240000E-3	1.049950E+5
5.260000E-3	1.044970E+5
5.280000E-3	1.044370E+5
5.300000E-3	1.035670E+5
5.320000E-3	1.042780E+5
5.340000E-3	1.036350E+5
5.360000E-3	1.031900E+5
5.380000E-3	1.024410E+5
5.400000E-3	1.018900E+5
5.420000E-3	1.003950E+5
5.440000E-3	9.739700E+4
5.460000E-3	9.359800E+4
5.480000E-3	8.895000E+4
5.500000E-3	8.785000E+4
5.520000E-3	9.133200E+4
5.540000E-3	9.594500E+4
5.560000E-3	9.944100E+4
5.580000E-3	1.017020E+5
5.600000E-3	1.023240E+5
5.620000E-3	1.031660E+5
5.640000E-3	1.046620E+5
5.660000E-3	1.036360E+5
5.680000E-3	1.040250E+5
5.700000E-3	1.041650E+5
5.720000E-3	1.042590E+5
5.740000E-3	1.038300E+5
5.760000E-3	1.044950E+5
5.780000E-3	1.041950E+5
5.800000E-3	1.038560E+5
5.820000E-3	1.044440E+5
5.840000E-3	1.037880E+5
5.860000E-3	1.029600E+5
5.880000E-3	1.015100E+5
5.900000E-3	1.005040E+5
5.920000E-3	9.750600E+4
5.940000E-3	9.404500E+4
5.960000E-3	8.946800E+4
5.980000E-3	8.865900E+4
6.000000E-3	9.114200E+4
6.020000E-3	9.560900E+4
6.040000E-3	9.949300E+4
6.060000E-3	1.014860E+5
6.080000E-3	1.026280E+5
6.100000E-3	1.031800E+5
6.120000E-3	1.041330E+5
6.140000E-3	1.044050E+5
6.160000E-3	1.042520E+5
6.180000E-3	1.039360E+5
6.200000E-3	1.046680E+5
6.220000E-3	1.047840E+5
6.240000E-3	1.046910E+5
6.260000E-3	1.037620E+5
6.280000E-3	1.048520E+5
6.300000E-3	1.044540E+5
6.320000E-3	1.043490E+5
6.340000E-3	1.042440E+5
6.360000E-3	1.044760E+5
6.380000E-3	1.035020E+5
6.400000E-3	1.038700E+5
6.420000E-3	1.031870E+5
6.440000E-3	1.022770E+5
6.460000E-3	1.017050E+5
6.480000E-3	1.002300E+5
6.500000E-3	9.843500E+4
6.520000E-3	9.574100E+4
6.540000E-3	9.252600E+4
6.560000E-3	8.939900E+4
6.580000E-3	8.472600E+4
6.600000E-3	7.941500E+4
6.620000E-3	7.422600E+4
6.640000E-3	7.417600E+4
6.660000E-3	7.965100E+4
6.680000E-3	8.661400E+4
6.700000E-3	9.241800E+4
6.720000E-3	9.709300E+4
6.740000E-3	9.960000E+4
6.760000E-3	1.005110E+5
6.780000E-3	1.018050E+5
6.800000E-3	1.030640E+5
6.820000E-3	1.032280E+5
6.840000E-3	1.028290E+5
6.860000E-3	1.036530E+5
6.880000E-3	1.033280E+5
6.900000E-3	1.037770E+5
6.920000E-3	1.040100E+5
6.940000E-3	1.042170E+5
6.960000E-3	1.040470E+5
6.980000E-3	1.035700E+5
7.000000E-3	1.042090E+5
7.020000E-3	1.037010E+5
7.040000E-3	1.031140E+5
7.060000E-3	1.033370E+5
7.080000E-3	1.028070E+5
7.100000E-3	1.019970E+5
7.120000E-3	1.009210E+5
7.140000E-3	9.944200E+4
7.160000E-3	9.787200E+4
7.180000E-3	9.666800E+4
7.200000E-3	9.599300E+4
7.220000E-3	9.483200E+4
7.240000E-3	9.198000E+4
7.260000E-3	8.754700E+4
7.280000E-3	8.294300E+4
7.300000E-3	7.661200E+4
7.320000E-3	7.495700E+4
7.340000E-3	7.712200E+4
7.360000E-3	8.256400E+4
7.380000E-3	8.902900E+4
7.400000E-3	9.421500E+4
7.420000E-3	9.780500E+4
7.440000E-3	1.001420E+5
7.460000E-3	1.012580E+5
7.480000E-3	1.013860E+5
7.500000E-3	1.027020E+5
7.520000E-3	1.037350E+5
7.540000E-3	1.040010E+5
7.560000E-3	1.038820E+5
7.580000E-3	1.046640E+5
7.600000E-3	1.041520E+5
7.620000E-3	1.051830E+5
7.640000E-3	1.041110E+5
7.660000E-3	1.048080E+5
7.680000E-3	1.050740E+5
7.700000E-3	1.052720E+5
7.720000E-3	1.050030E+5
7.740000E-3	1.049620E+5
7.760000E-3	1.049320E+5
7.780000E-3	1.049840E+5
7.800000E-3	1.054630E+5
7.820000E-3	1.053060E+5
7.840000E-3	1.051940E+5
7.860000E-3	1.045950E+5
7.880000E-3	1.050990E+5
7.900000E-3	1.053820E+5
7.920000E-3	1.051640E+5
7.940000E-3	1.049940E+5
7.960000E-3	1.057260E+5
7.980000E-3	1.055810E+5
8.000000E-3	1.047780E+5
8.020000E-3	1.060460E+5
8.040000E-3	1.055700E+5
8.060000E-3	1.050140E+5
8.080000E-3	1.049440E+5
8.100000E-3	1.051680E+5
8.120000E-3	1.053100E+5
8.140000E-3	1.053470E+5
8.160000E-3	1.052200E+5
8.180000E-3	1.055340E+5
8.200000E-3	1.052770E+5
8.220000E-3	1.055080E+5
8.240000E-3	1.056520E+5
8.260000E-3	1.057940E+5
8.280000E-3	1.051260E+5
8.300000E-3	1.055730E+5
8.320000E-3	1.048280E+5
8.340000E-3	1.051050E+5
8.360000E-3	1.053120E+5
8.380000E-3	1.056530E+5
8.400000E-3	1.058750E+5
8.420000E-3	1.058640E+5
8.440000E-3	1.053290E+5
8.460000E-3	1.056990E+5
8.480000E-3	1.056340E+5
8.500000E-3	1.049250E+5
8.520000E-3	1.051170E+5
8.540000E-3	1.059220E+5
8.560000E-3	1.053890E+5
8.580000E-3	1.055620E+5
8.600000E-3	1.054990E+5
8.620000E-3	1.052930E+5
8.640000E-3	1.053780E+5
8.660000E-3	1.055360E+5
8.680000E-3	1.052600E+5
8.700000E-3	1.049000E+5
8.720000E-3	1.057360E+5
8.740000E-3	1.055590E+5
8.760000E-3	1.052860E+5
8.780000E-3	1.059380E+5
8.800000E-3	1.059200E+5
8.820000E-3	1.052120E+5
8.840000E-3	1.057430E+5
8.860000E-3	1.053720E+5
8.880000E-3	1.052690E+5
8.900000E-3	1.053880E+5
8.920000E-3	1.054510E+5
8.940000E-3	1.053690E+5
8.960000E-3	1.058680E+5
8.980000E-3	1.057220E+5
9.000000E-3	1.062720E+5
9.020000E-3	1.055800E+5
9.040000E-3	1.056390E+5
9.060000E-3	1.051020E+5
9.080000E-3	1.053600E+5
9.100000E-3	1.045970E+5
9.120000E-3	1.054280E+5
9.140000E-3	1.054700E+5
9.160000E-3	1.060690E+5
9.180000E-3	1.057420E+5
9.200000E-3	1.053330E+5
9.220000E-3	1.053920E+5
9.240000E-3	1.060850E+5
9.260000E-3	1.055730E+5
9.280000E-3	1.061050E+5
9.300000E-3	1.053170E+5
9.320000E-3	1.057680E+5
9.340000E-3	1.054580E+5
9.360000E-3	1.056860E+5
9.380000E-3	1.053790E+5
9.400000E-3	1.050700E+5
9.420000E-3	1.053560E+5
9.440000E-3	1.047090E+5
9.460000E-3	1.054760E+5
9.480000E-3	1.057130E+5
9.500000E-3	1.050510E+5
9.520000E-3	1.048000E+5
9.540000E-3	1.056860E+5
9.560000E-3	1.058590E+5
9.580000E-3	1.057690E+5
9.600000E-3	1.052090E+5
9.620000E-3	1.056040E+5
9.640000E-3	1.054510E+5
9.660000E-3	1.056570E+5
9.680000E-3	1.058330E+5
9.700000E-3	1.057800E+5
9.720000E-3	1.059790E+5
9.740000E-3	1.054000E+5
9.760000E-3	1.054180E+5
9.780000E-3	1.047890E+5
9.800000E-3	1.055180E+5
9.820000E-3	1.056900E+5
9.840000E-3	1.051660E+5
9.860000E-3	1.053990E+5
9.880000E-3	1.055090E+5
9.900000E-3	1.060220E+5
9.920000E-3	1.054660E+5
9.940000E-3	1.052740E+5
9.960000E-3	1.056680E+5
9.980000E-3	1.052990E+5
1.000000E-2	1.052870E+5
1.002000E-2	1.054790E+5
1.004000E-2	1.057400E+5
1.006000E-2	1.056690E+5
1.008000E-2	1.052540E+5
1.010000E-2	1.053570E+5
1.012000E-2	1.055580E+5
1.014000E-2	1.047500E+5
1.016000E-2	1.057970E+5
1.018000E-2	1.056610E+5
1.020000E-2	1.052290E+5
1.022000E-2	1.060270E+5
1.024000E-2	1.052620E+5
1.026000E-2	1.049500E+5
1.028000E-2	1.060410E+5
